account|حساب  
design|تصميم  
hotel|فندق  
accurate|دقيق  
system|نظام  
culture|ثقافة  
fast|أسرع  
sick|مريض  
knife|سكين  
complement|مكمل  
room|غرفة  
thought|تفكير  
explanation|تفسير  
technology|تكنولوجيا  
glass|زجاج  
process|عملية  
air|هواء  
evidence|أدلة  
lawyer|محامي  
plate|طبق  
military|عسكري  
author|مؤلف  
ordinary|عادي  
airplane|طائرة  
car|سيارة  
problem|مشكلة  
training|تدريب  
education|تعليم  
work|عمل  
success|نجاح  
quick|سريعة  
kind|نوع  
director|مدير  
little|قليل  
scene|مشهد  
beautiful|جميل  
temperature|حرارة  
light|ضوء  
child|طفل  
book|كتاب  
construction|بناء  
word|كلمة  
poor|فقير  
family|عائلة  
station|محطة  
film|فيلم  
pattern|تصميم  
model|نموذج  
memory|ذاكرة  
comparison|مقارنة  
definition|تعريف  
tree|شجرة  
note|ملاحظة  
question|سؤال  
student|طالب  
library|مكتبة  
teaching|تعليم  
letter|حرف  
job|وظيفة  
life|حياة  
advice|نصيحة  
programming|برمجة  
law|قانون  
rate|معدل  
interpretation|تفسير  
body|جسم  
materials|مواد  
plan|خطة  
energy|طاقة  
wallet|محفظة  
drawing|رسم  
idea|فكرة  
table|طاولة  
appointment|موعد  
theory|نظرية  
writing|كتابة  
case|حالة  
trip|رحلة  
hospital|مستشفى  
office|مكتب  
school|مدرسة  
language|لغة  
holiday|عيد  
location|موقع  
things|أشياء  
contact|اتصال  
property|عقار  
opportunity|فرصة  
pupil|طالب  
desk|مكتب  
career|مهنة  
course|دورة  
screen|شاشة  
natural|طبيعي  
order|نظام  
bag|حقيبة  
issue|مشكلة  
balance|حساب  
research|بحث  
science|علم  
motion|حركة  
event|حدث  
show|عرض  
place|مكان  
list|قائمة  
teacher|معلم  
photographer|مصور  
precision|دقة  
achievement|نجاح  
participation|مشاركة  
movement|حركة  
arrangement|ترتيب  
lens|عدسة  
picture|صورة  
food|غذاء  
rates|معدلات  
knowledge|معرفة  
challenge|تحدي  
clothes|ملابس  
issues|مشاكل  
world|عالم  
laboratory|معمل  
health|صحة  
danger|خطر  
exercise|تمرين  
situation|وضع  
lesson|درس  
person|شخص  
family|عائلة  
position|مكان  
environment|بيئة  
victory|نجاح  
stance|موقف  
tension|توتر  
feelings|مشاعر  
decision|قرار  
level|مستوى  
inquiry|بحث  
disagreement|خلاف  
battle|معركة  
war|حرب  
peace|سلام  
benefit|فائدة  
lessons|دروس  
thinking|تفكير  
organization|تنظيم  
information|معلومات  
strategy|خطة  
practice|تدريب  
needs|احتياجات  
assistant|مساعد  
content|محتوى  
celebration|احتفال  
time|وقت  
difficulty|مشكلة  
balance|توازن  
frequency|معدل  
classification|تصنيف  
elements|عناصر  
closed|مغلق  
open|فتح  
restaurant|مطعم  
basis|أساس  
variable|متغير  
description|وصف  
story|قصة  
module|وحدة  
partnership|شراكة  
positivity|إيجابية  
negativity|سلبية  
evaluation|تقييم  
chamber|غرفة  
institution|مؤسسة  
certificate|شهادة  
degree|مستوى  
center|مركز  
hobby|هواية  
document|مستند  
opinions|آراء  
presentation|عرض  
contest|تحدي  
contrast|مقارنة  
response|إجابة  
first|أول  
second|ثاني  
test|اختبار  
detailed|مفصل  
fact|حقيقة  
imagination|خيال  
interaction|تفاعل  
power|قوة  
impact|تأثير  
concept|تصميم  
presentation|تقديم  
administration|إدارة  
vacuum|فراغ  
point|نقطة  
stage|مستوى  
context|سياق  
education|تعليم  
activity|نشاط  
coordination|تنسيق  
advantages|مزايا  
disadvantages|عيوب  
problem|مشكلة  
solution|حل  
cooperation|تعاون  
production|إنتاج  
monitoring|مراقبة  
initiative|مبادرة  
analysis|تحليل  
foundation|مؤسسة  
team|فريق  
mind|عقل  
depiction|وصف  
explanation|تفسير  
selection|اختيار  
distribution|توزيع  
strategy|إستراتيجية  
study|دراسة  
update|تحديث  
transition|انتقال  
revision|مراجعة  
creativity|إبداع  
correction|إصلاح  
notes|ملاحظات  
investigation|تحقيق  
circumstances|ظروف  
scheme|خطة  
criteria|معايير  
credibility|مصداقية  
specifications|مواصفات  
details|تفصيل  
share|مشاركة  
background|خلفية  
implementation|تنفيذ  
output|إنتاج  
success|نجاح  
excellence|تفوق  
innovation|إبداع  
development|تطوير  
operation|عمل  
effect|تأثير  
speed|سريع  
concepts|مفاهيم  
accomplishment|إنجاز  
achievement|تحقيق  
evaluation|تقييم  
adjustment|تعديل  
improvement|تحسين  
preparation|تحضير  
communication|اتصال  
satisfaction|رضا  
decision-making|اتخاذ القرار  
knowledge|معرفة  
realization|إدراك  
opinion|رأي  
assistance|مساعدة  
translation|ترجمة  
construction|إنشاء  
invention|اختراع  
negotiation|تفاوض  
conclusion|استنتاج  
strategy|خطة  
implementation|تنفيذ  
leadership|قيادة  
motivation|تحفيز  
evaluation|تقييم  
reliability|موثوقية  
response|رد  
comprehension|فهم  
productivity|إنتاجية  
presentation|عرض  
sustainability|استدامة  
perception|إدراك  
realistic|واقعي  
explanation|تفسير  
solution|حل  
market|سوق  
opportunity|فرصة  
discussion|مناقشة  
management|إدارة  
reflection|تفكير  
atmosphere|جو  
assertiveness|حزم  
focus|تركيز  
capacity|قدرة  
perspective|منظور  
recovery|استرداد  
comparison|مقارنة  
cooperation|تعاون  
agreement|اتفاق  
learning|تعلم  
development|تنمية  
approach|منهج  
model|نموذج  
measuring|قياس  
evolution|تطور  
operation|عملية  
sociability|اجتماعية  
perseverance|إصرار  
decision|قرار  
interaction|تفاعل  
achievement|إنجاز  
factor|عامل  
evaluation|تقييم  
process|عملية  
analysis|تحليل  
understanding|فهم  
leadership|قيادة  
response|استجابة  
shift|تحول  
suggestion|اقتراح  
assistance|مساعدة  
confidence|ثقة  
consideration|اعتبار
